NbEntrp,FraisPersonnel,Salaries_tps_plein,CA_exportation,CA_hors_taxe,EBE,VA_et_autres_prdts_charges,ResultatNetComptable,CapaciteAutofinancement,ResultatCourantAvantImpots,InvestCorporelsBrutsHorsApports,annee,SecteurDActivite
270643.0,24508.5,659241.0,625.9,73656.29999999999,3654.5,29502.1,2455.6,-736.9,-744.7000000000003,4371.0,2016,I 
133540.0,24181.1,314339.0,11545.400000000001,75987.6,8669.2,33420.0,2856.8,8018.4,3497.8999999999996,2830.8,2016,J 
149925.0,18160.5,160190.0,5044.2,52618.3,4050.8,23781.800000000003,65009.5,65820.0,57796.4,4825.9,2016,K 
275261.0,9873.0,149960.0,696.0,67973.79999999999,22892.7,37562.899999999994,16260.6,21629.7,13081.800000000001,30601.199999999997,2016,L 
481549.0,57244.4,692616.0,23329.300000000003,161517.4,18121.2,76121.7,30567.600000000002,37254.9,32297.600000000002,5925.8,2016,M 
212533.0,33926.8,525528.0,10574.2,100172.9,10940.6,46020.4,3787.2999999999997,11401.2,4924.5,13829.8,2016,N 
142712.0,4782.6,91053.0,513.8,12748.099999999999,1367.3,6224.7,734.7,1216.8,888.0,998.5,2016,P 
473576.0,26137.800000000003,367822.0,137.3,79386.9,27905.399999999998,56741.7,25880.0,27188.3,26514.100000000002,1645.0,2016,Q 
218815.0,5318.1,84867.0,974.8,17228.5,2006.9,7236.4,0.09999999999999432,1745.7,-120.1,2254.7,2016,R 
225364.0,6788.200000000001,179950.0,531.4,18333.7,1966.0,8977.8,1208.2,1766.5,1292.1,1232.6,2016,S 
4549.0,138.6,2756.0,67.0,723.5,70.4,214.9,33.1,73.5,15.4,87.9,2017,A 
1262.0,463.8,7677.0,204.1,2293.0,191.70000000000002,712.9000000000001,655.0,4182.891250000001,703.0,229.1,2017,B 
199535.0,50635.9,991128.0,34124.2,194213.9,12808.900000000001,65950.4,7381.3,9581.7,8206.699999999999,8258.5,2017,C 
25960.0,325.0,4837.0,93.8,5604.3,2375.6000000000004,2858.2,310.0,1901.3437499999998,395.7,3214.5,2017,D 
11131.0,2126.4,47613.0,1046.8,10114.3,1108.0,3331.2,388.6,937.3000000000001,365.20000000000005,2073.8,2017,E 
470992.0,49536.6,945606.0,2481.8,182437.1,11754.7,63066.600000000006,7896.2,10636.4,9177.3,6076.9,2017,F 
684287.0,69597.1,1350262.0,39471.2,529104.4,20491.9,94440.4,12528.900000000001,16095.0,15098.8,9757.099999999999,2017,G 
113042.0,15415.4,322293.0,5868.7,52732.7,3566.9,19466.300000000003,2100.0,3077.6,2239.5,3338.8,2017,H 
256375.0,23758.0,642206.0,641.0,69014.5,4092.1000000000004,29064.9,2635.1,3421.7,275.10000000000036,3386.5,2017,I 
126526.0,19828.2,256865.0,6807.6,47453.2,4313.0,24318.2,1637.8,4321.8,1412.6,1698.1,2017,J 
96308.0,6730.799999999999,72538.0,1426.9,19036.4,2239.1,9584.5,9950.5,14443.0,8272.2,2942.0059999999994,2017,K 
235014.0,7370.0,114221.0,432.4,44344.3,11982.2,21819.800000000003,7099.7,10100.5,5271.5,22969.351999999995,2017,L 
461516.0,46022.9,573687.0,9528.9,115166.70000000001,15589.800000000001,63244.399999999994,14963.1,17061.4,16127.6,4386.4,2017,M 
191445.0,23929.9,414575.0,5511.299999999999,59359.600000000006,4682.2,29045.6,2772.3999999999996,4371.6,2914.3,4651.7,2017,N 
134412.0,4352.5,86286.0,354.3,11549.4,1382.8,5813.299999999999,826.0,1212.8,867.8,800.5,2017,P 
478216.0,22729.1,273936.0,100.6,72022.8,27711.3,52896.600000000006,26220.1,27340.0,26476.0,1413.1,2017,Q 
143479.0,4036.5,73704.0,430.7,12827.3,1667.1,5482.5,823.1,1509.1,726.2,1376.2,2017,R 
214252.0,6378.7,173695.0,334.7,17032.800000000003,1907.4,8460.7,1109.7,1747.6,1176.8000000000002,1193.7,2017,S 
4204.0,221.7,4471.0,213.1,1341.4,104.10000000000001,334.6,54.9,101.5,33.9,117.3,2018,A 
1104.0,429.0,7133.0,194.2,2155.5,179.89999999999998,657.4,-15.299999999999999,4182.891250000001,94.30000000000001,496.9210000000001,2018,B 
201294.0,49938.6,947961.0,33241.8,193223.0,12717.7,65193.399999999994,6219.2,10605.1,7039.0,8288.7,2018,C 
26915.0,333.70000000000005,5019.0,113.0,5969.6,2687.7,3204.6,542.0,1901.3437499999998,496.0,1620.0,2018,D 
11506.0,2061.0,46297.0,873.5,10089.9,1465.8000000000002,3590.6000000000004,477.9,648.1,406.4,3287.8900000000003,2018,E 
472074.0,50696.600000000006,947303.0,3184.4,190421.2,12323.6,64968.4,7987.8,11109.3,9307.5,6283.1,2018,F 
679342.0,70248.4,1333237.0,38648.6,531443.9,21429.1,96208.8,12882.7,17794.7,15328.5,9767.8,2018,G 
134085.0,15689.7,320111.0,5803.9,53557.8,3319.4,19519.2,2020.1000000000001,2887.5,1943.1,3556.4,2018,H 
258110.0,24700.4,613684.0,494.2,72719.79999999999,4394.599999999999,30462.4,2257.9,3860.9,275.5000000000002,6311.700000000001,2018,I 
134373.0,21171.9,263631.0,7241.8,49365.6,3861.2000000000003,25246.0,1373.1,3938.4,974.3,1719.5,2018,J 
101640.0,6723.4,70101.0,1194.0,18117.2,2166.3999999999996,9549.2,22799.7,26402.4,23734.9,2117.3,2018,K 
213341.0,7453.1,115576.0,528.0,47112.2,12196.8,22314.300000000003,9509.9,12429.8,6635.700000000001,18797.300000000003,2018,L 
488767.0,47376.0,570940.0,9439.9,120134.29999999999,17359.0,66571.5,18627.7,20584.800000000003,17468.4,5386.2,2018,M 
